config,trial,map_type,b,N,m,d,limit,limit_over_mean,covered_states,coverage_fraction,stored_chains,truncated_chains,truncation_fraction,distinct_endpoints,mean_stored_transitions,theory_truncation_fraction
dp-d4-l16,0,des,16,65536,1024,4,16,1.000,3847,0.058700561523,677,347,0.338867187500,448,7.177253,0.356074130452
dp-d4-l16,0,random,16,65536,1024,4,16,1.000,3847,0.058700561523,688,336,0.328125000000,460,6.975291,0.356074130452
dp-d4-l32,0,des,16,65536,1024,4,32,2.000,6115,0.093307495117,881,143,0.139648437500,470,10.911464,0.126788786377
dp-d4-l32,0,random,16,65536,1024,4,32,2.000,6569,0.100234985352,922,102,0.099609375000,496,11.049892,0.126788786377
dp-d4-l64,0,des,16,65536,1024,4,64,4.000,7645,0.116653442383,1019,5,0.004882812500,471,15.431796,0.016075396351
dp-d4-l64,0,random,16,65536,1024,4,64,4.000,7789,0.118850708008,1020,4,0.003906250000,497,14.125490,0.016075396351
dp-d6-l64,0,des,16,65536,1024,6,64,1.000,6178,0.094268798828,679,345,0.336914062500,146,27.821797,0.364986524244
dp-d6-l64,0,random,16,65536,1024,6,64,1.000,5950,0.090789794922,633,391,0.381835937500,142,28.116904,0.364986524244
dp-d6-l128,0,des,16,65536,1024,6,128,2.000,9170,0.139923095703,939,85,0.083007812500,146,44.706070,0.133215162880
dp-d6-l128,0,random,16,65536,1024,6,128,2.000,9101,0.138870239258,923,101,0.098632812500,142,47.937161,0.133215162880
dp-d6-l256,0,des,16,65536,1024,6,256,4.000,10045,0.153274536133,1021,3,0.002929687500,146,53.270323,0.017746279621
dp-d6-l256,0,random,16,65536,1024,6,256,4.000,9573,0.146072387695,963,61,0.059570312500,142,52.859813,0.017746279621
dp-d8-l256,0,des,16,65536,1024,8,256,1.000,7401,0.112930297852,711,313,0.305664062500,43,109.042194,0.367159754892
dp-d8-l256,0,random,16,65536,1024,8,256,1.000,8453,0.128982543945,820,204,0.199218750000,37,129.863415,0.367159754892
dp-d8-l512,0,des,16,65536,1024,8,512,2.000,7613,0.116165161133,731,293,0.286132812500,43,113.812585,0.134806285612
dp-d8-l512,0,random,16,65536,1024,8,512,2.000,9824,0.149902343750,933,91,0.088867187500,37,152.108253,0.134806285612
dp-d8-l1024,0,des,16,65536,1024,8,1024,4.000,7613,0.116165161133,731,293,0.286132812500,43,113.812585,0.018172734641
dp-d8-l1024,0,random,16,65536,1024,8,1024,4.000,9824,0.149902343750,933,91,0.088867187500,37,152.108253,0.018172734641
dp-d4-l16,1,des,16,65536,1024,4,16,1.000,3424,0.052246093750,653,371,0.362304687500,431,6.781011,0.356074130452
