config,b,N,trial,map_type,m,t,mt_over_N,mt2_over_N,nominal_positions,covered_states,coverage_fraction,duplicate_positions,distinct_endpoints,ma_hong_fraction,iid_fraction,residual_vs_ma_hong
stop-b12-a,12,4096,0,des,64,8,0.125000000000,1.000000000000,512,440,0.107421875000,72,61,0.104435921238,0.117503097415,0.002985953762
stop-b12-a,12,4096,0,random,64,8,0.125000000000,1.000000000000,512,427,0.104248046875,85,58,0.104435921238,0.117503097415,-0.000187874363
stop-b12-b,12,4096,0,des,16,16,0.062500000000,1.000000000000,256,209,0.051025390625,47,16,0.053028480822,0.060586937187,-0.002003090197
stop-b12-b,12,4096,0,random,16,16,0.062500000000,1.000000000000,256,176,0.042968750000,80,15,0.053028480822,0.060586937187,-0.010059730822
stop-b12-a,12,4096,1,des,64,8,0.125000000000,1.000000000000,512,436,0.106445312500,76,57,0.104435921238,0.117503097415,0.002009391262
stop-b12-a,12,4096,1,random,64,8,0.125000000000,1.000000000000,512,417,0.101806640625,95,60,0.104435921238,0.117503097415,-0.002629280613
stop-b12-b,12,4096,1,des,16,16,0.062500000000,1.000000000000,256,213,0.052001953125,43,15,0.053028480822,0.060586937187,-0.001026527697
stop-b12-b,12,4096,1,random,16,16,0.062500000000,1.000000000000,256,221,0.053955078125,35,16,0.053028480822,0.060586937187,0.000926597303
stop-b12-a,12,4096,2,des,64,8,0.125000000000,1.000000000000,512,452,0.110351562500,60,62,0.104435921238,0.117503097415,0.005915641262
stop-b12-a,12,4096,2,random,64,8,0.125000000000,1.000000000000,512,426,0.104003906250,86,57,0.104435921238,0.117503097415,-0.000432014988
stop-b12-b,12,4096,2,des,16,16,0.062500000000,1.000000000000,256,236,0.057617187500,20,16,0.053028480822,0.060586937187,0.004588706678
stop-b12-b,12,4096,2,random,16,16,0.062500000000,1.000000000000,256,247,0.060302734375,9,16,0.053028480822,0.060586937187,0.007274253553
stop-b12-a,12,4096,3,des,64,8,0.125000000000,1.000000000000,512,424,0.103515625000,88,60,0.104435921238,0.117503097415,-0.000920296238
stop-b12-a,12,4096,3,random,64,8,0.125000000000,1.000000000000,512,439,0.107177734375,73,60,0.104435921238,0.117503097415,0.002741813137
stop-b12-b,12,4096,3,des,16,16,0.062500000000,1.000000000000,256,216,0.052734375000,40,16,0.053028480822,0.060586937187,-0.000294105822
stop-b12-b,12,4096,3,random,16,16,0.062500000000,1.000000000000,256,242,0.059082031250,14,16,0.053028480822,0.060586937187,0.006053550428
stop-b12-a,12,4096,4,des,64,8,0.125000000000,1.000000000000,512,413,0.100830078125,99,60,0.104435921238,0.117503097415,-0.003605843113
stop-b12-a,12,4096,4,random,64,8,0.125000000000,1.000000000000,512,401,0.097900390625,111,60,0.104435921238,0.117503097415,-0.006535530613
stop-b12-b,12,4096,4,des,16,16,0.062500000000,1.000000000000,256,232,0.056640625000,24,16,0.053028480822,0.060586937187,0.003612144178
stop-b12-b,12,4096,4,random,16,16,0.062500000000,1.000000000000,256,211,0.051513671875,45,15,0.053028480822,0.060586937187,-0.001514808947
stop-b12-a,12,4096,5,des,64,8,0.125000000000,1.000000000000,512,410,0.100097656250,102,59,0.104435921238,0.117503097415,-0.004338264988
stop-b12-a,12,4096,5,random,64,8,0.125000000000,1.000000000000,512,424,0.103515625000,88,57,0.104435921238,0.117503097415,-0.000920296238
stop-b12-b,12,4096,5,des,16,16,0.062500000000,1.000000000000,256,205,0.050048828125,51,15,0.053028480822,0.060586937187,-0.002979652697
stop-b12-b,12,4096,5,random,16,16,0.062500000000,1.000000000000,256,209,0.051025390625,47,15,0.053028480822,0.060586937187,-0.002003090197
stop-b12-a,12,4096,6,des,64,8,0.125000000000,1.000000000000,512,431,0.105224609375,81,60,0.104435921238,0.117503097415,0.000788688137
stop-b12-a,12,4096,6,random,64,8,0.125000000000,1.000000000000,512,436,0.106445312500,76,61,0.104435921238,0.117503097415,0.002009391262
stop-b12-b,12,4096,6,des,16,16,0.062500000000,1.000000000000,256,202,0.049316406250,54,16,0.053028480822,0.060586937187,-0.003712074572
stop-b12-b,12,4096,6,random,16,16,0.062500000000,1.000000000000,256,233,0.056884765625,23,16,0.053028480822,0.060586937187,0.003856284803
stop-b12-a,12,4096,7,des,64,8,0.125000000000,1.000000000000,512,453,0.110595703125,59,60,0.104435921238,0.117503097415,0.006159781887
stop-b12-a,12,4096,7,random,64,8,0.125000000000,1.000000000000,512,438,0.106933593750,74,58,0.104435921238,0.117503097415,0.002497672512
stop-b12-b,12,4096,7,des,16,16,0.062500000000,1.000000000000,256,211,0.051513671875,45,16,0.053028480822,0.060586937187,-0.001514808947
stop-b12-b,12,4096,7,random,16,16,0.062500000000,1.000000000000,256,185,0.045166015625,71,14,0.053028480822,0.060586937187,-0.007862465197
