trial,method,state_bits,target_state,configured_chains,chain_parameter,dp_difficulty_bits,stored_chains,distinct_endpoints,offline_ns,online_ns,exact_recovery,recovered_state,endpoint_matches_or_candidates,candidate_chains_checked,truncated_chains,projection_steps
0,exhaustive,16,57417,0,0,0,0,0,0,151507500,true,57417,0,0,0,0
0,hellman,16,57417,1024,64,0,1024,684,175374083,15755000,false,-1,33,60,0,0
0,distinguished_points,16,57417,1024,256,6,1015,139,151660375,28553375,false,-1,93,93,9,136
1,exhaustive,16,59109,0,0,0,0,0,0,155018417,true,59109,0,0,0,0
1,hellman,16,59109,1024,64,0,1024,736,176997416,8293208,false,-1,10,17,0,0
1,distinguished_points,16,59109,1024,256,6,1022,140,145973458,8216333,false,-1,37,37,2,87
2,exhaustive,16,21223,0,0,0,0,0,0,55699834,true,21223,0,0,0,0
2,hellman,16,21223,1024,64,0,1024,697,176161250,8473750,true,21223,15,21,0,0
2,distinguished_points,16,21223,1024,256,6,1023,141,166094250,6774208,false,-1,43,43,1,55
3,exhaustive,16,18211,0,0,0,0,0,0,50736042,true,18211,0,0,0,0
3,hellman,16,18211,1024,64,0,1024,693,174929167,5365292,false,-1,0,0,0,0
3,distinguished_points,16,18211,1024,256,6,1017,134,154427416,40208,false,-1,1,1,7,9
4,exhaustive,16,56041,0,0,0,0,0,0,147095500,true,56041,0,0,0,0
4,hellman,16,56041,1024,64,0,1024,696,175310750,6253667,false,-1,5,5,0,0
4,distinguished_points,16,56041,1024,256,6,1023,146,146866292,3630875,false,-1,33,33,1,65
5,exhaustive,16,22121,0,0,0,0,0,0,58231041,true,22121,0,0,0,0
5,hellman,16,22121,1024,64,0,1024,695,178895417,7440792,false,-1,11,12,0,0
5,distinguished_points,16,22121,1024,256,6,1021,140,146345583,531750,false,-1,6,6,3,1
6,exhaustive,16,7731,0,0,0,0,0,0,20298958,true,7731,0,0,0,0
6,hellman,16,7731,1024,64,0,1024,689,176968458,7326000,false,-1,4,6,0,0
6,distinguished_points,16,7731,1024,256,6,1023,151,163878041,39278000,false,-1,109,109,1,195
7,exhaustive,16,55558,0,0,0,0,0,0,147327333,true,55558,0,0,0,0
7,hellman,16,55558,1024,64,0,1024,678,176548208,6213834,false,-1,5,5,0,0
7,distinguished_points,16,55558,1024,256,6,1021,147,155089041,8885125,false,-1,58,58,3,92
8,exhaustive,16,58733,0,0,0,0,0,0,159543625,true,58733,0,0,0,0
8,hellman,16,58733,1024,64,0,1024,691,191942375,12628083,false,-1,22,42,0,0
8,distinguished_points,16,58733,1024,256,6,1021,153,145824209,29196709,false,-1,94,94,3,152
9,exhaustive,16,12073,0,0,0,0,0,0,31959875,true,12073,0,0,0,0
9,hellman,16,12073,1024,64,0,1024,710,307236042,13781166,false,-1,27,40,0,0
9,distinguished_points,16,12073,1024,256,6,1018,141,166280375,2266458,false,-1,27,27,6,22
10,exhaustive,16,5407,0,0,0,0,0,0,14124667,true,5407,0,0,0,0
10,hellman,16,5407,1024,64,0,1024,676,179052500,5998334,false,-1,2,3,0,0
10,distinguished_points,16,5407,1024,256,6,1020,144,151060500,2967917,false,-1,19,19,4,94
11,exhaustive,16,14353,0,0,0,0,0,0,37695458,true,14353,0,0,0,0
11,hellman,16,14353,1024,64,0,1024,698,177381167,10243084,false,-1,18,26,0,0
11,distinguished_points,16,14353,1024,256,6,1021,132,146743333,8573666,false,-1,41,41,3,98
12,exhaustive,16,27985,0,0,0,0,0,0,73672708,true,27985,0,0,0,0
12,hellman,16,27985,1024,64,0,1024,672,175161375,14503209,false,-1,30,53,0,0
12,distinguished_points,16,27985,1024,256,6,1021,159,146612416,510333,false,-1,8,8,3,22
13,exhaustive,16,33658,0,0,0,0,0,0,88260083,true,33658,0,0,0,0
13,hellman,16,33658,1024,64,0,1024,694,176200125,6048209,false,-1,3,4,0,0
13,distinguished_points,16,33658,1024,256,6,1021,148,151227667,5032584,false,-1,27,27,3,145
14,exhaustive,16,1963,0,0,0,0,0,0,5274792,true,1963,0,0,0,0
14,hellman,16,1963,1024,64,0,1024,690,175226875,14664167,false,-1,27,54,0,0
14,distinguished_points,16,1963,1024,256,6,1019,153,155274917,4546208,false,-1,26,26,5,38
15,exhaustive,16,55563,0,0,0,0,0,0,149044375,true,55563,0,0,0,0
15,hellman,16,55563,1024,64,0,1024,692,175557625,10276834,true,55563,23,37,0,0
15,distinguished_points,16,55563,1024,256,6,1024,151,141775000,205292,false,-1,5,5,0,7
16,exhaustive,16,15759,0,0,0,0,0,0,41482291,true,15759,0,0,0,0
16,hellman,16,15759,1024,64,0,1024,692,251965542,6582375,false,-1,6,6,0,0
16,distinguished_points,16,15759,1024,256,6,1020,149,147754542,2197542,true,15759,21,14,4,66
17,exhaustive,16,5625,0,0,0,0,0,0,14914583,true,5625,0,0,0,0
17,hellman,16,5625,1024,64,0,1024,680,175677334,22323334,false,-1,37,99,0,0
17,distinguished_points,16,5625,1024,256,6,1020,144,149774709,18838334,false,-1,111,111,4,46
18,exhaustive,16,25805,0,0,0,0,0,0,67740000,true,25805,0,0,0,0
18,hellman,16,25805,1024,64,0,1024,674,175209334,21993625,false,-1,40,97,0,0
18,distinguished_points,16,25805,1024,256,6,1022,149,151608500,15649125,false,-1,94,94,2,40
19,exhaustive,16,49316,0,0,0,0,0,0,129164333,true,49316,0,0,0,0
19,hellman,16,49316,1024,64,0,1024,694,175119041,17151875,false,-1,38,69,0,0
19,distinguished_points,16,49316,1024,256,6,1021,165,144602584,85292,true,49316,3,3,3,5
20,exhaustive,16,52222,0,0,0,0,0,0,136944709,true,52222,0,0,0,0
20,hellman,16,52222,1024,64,0,1024,680,175619667,5916750,false,-1,3,3,0,0
20,distinguished_points,16,52222,1024,256,6,1021,145,142884875,2725625,false,-1,25,25,3,78
21,exhaustive,16,676,0,0,0,0,0,0,1773208,true,676,0,0,0,0
21,hellman,16,676,1024,64,0,1024,693,175302000,7699041,true,676,23,27,0,0
21,distinguished_points,16,676,1024,256,6,1018,153,149137292,725167,true,676,25,5,6,65
22,exhaustive,16,17818,0,0,0,0,0,0,46777875,true,17818,0,0,0,0
22,hellman,16,17818,1024,64,0,1024,686,176589458,14060458,false,-1,29,50,0,0
22,distinguished_points,16,17818,1024,256,6,1022,143,149814875,6434167,false,-1,43,43,2,30
23,exhaustive,16,20117,0,0,0,0,0,0,52733875,true,20117,0,0,0,0
23,hellman,16,20117,1024,64,0,1024,688,176131458,13143792,false,-1,26,45,0,0
23,distinguished_points,16,20117,1024,256,6,1022,139,173104041,6899666,false,-1,35,35,2,56
24,exhaustive,16,25443,0,0,0,0,0,0,66712875,true,25443,0,0,0,0
24,hellman,16,25443,1024,64,0,1024,695,174814333,7226667,false,-1,9,11,0,0
24,distinguished_points,16,25443,1024,256,6,1022,146,147888875,471041,false,-1,6,6,2,34
25,exhaustive,16,54129,0,0,0,0,0,0,141947000,true,54129,0,0,0,0
25,hellman,16,54129,1024,64,0,1024,688,174991916,6281875,false,-1,3,5,0,0
25,distinguished_points,16,54129,1024,256,6,1021,134,147703000,363916,false,-1,8,8,3,16
26,exhaustive,16,54975,0,0,0,0,0,0,144332083,true,54975,0,0,0,0
26,hellman,16,54975,1024,64,0,1024,685,182329834,6651125,false,-1,3,3,0,0
26,distinguished_points,16,54975,1024,256,6,1020,141,171628375,3530208,false,-1,27,27,4,72
27,exhaustive,16,21388,0,0,0,0,0,0,56155042,true,21388,0,0,0,0
27,hellman,16,21388,1024,64,0,1024,693,175549792,10954584,false,-1,21,32,0,0
27,distinguished_points,16,21388,1024,256,6,1019,132,153175375,8559625,false,-1,56,56,5,46
28,exhaustive,16,64006,0,0,0,0,0,0,167729667,true,64006,0,0,0,0
28,hellman,16,64006,1024,64,0,1024,680,175706958,6476500,true,64006,11,12,0,0
28,distinguished_points,16,64006,1024,256,6,1021,136,148200459,5469583,false,-1,28,28,3,29
29,exhaustive,16,39512,0,0,0,0,0,0,104071625,true,39512,0,0,0,0
29,hellman,16,39512,1024,64,0,1024,684,175803125,9616083,false,-1,19,24,0,0
29,distinguished_points,16,39512,1024,256,6,1020,158,148570792,154292,false,-1,2,2,4,11
