trial,target_state,target_ciphertext_hex,hellman_coverage,hellman_distinct_endpoints,hellman_recovered_state,hellman_exact_recovery,hellman_endpoint_matches,hellman_candidate_chains_checked,dp_coverage,dp_generated_chains,dp_stored_chains,dp_truncated_chains,dp_distinct_endpoints,dp_recovered_state,dp_exact_recovery,dp_endpoint_candidates,dp_candidate_chains_checked,dp_projection_steps
0,57417,0af308e86d132dd228d8373ec5db15a4f547264c9af7c8fcdec98a59bbb8659f,11138,684,-1,false,33,60,10073,1024,1015,9,139,-1,false,93,93,136
1,59109,d55cf514517cc85dab363cef5535fa05b3e81b782d00c7427f60c9720d0200af,11291,736,-1,false,10,17,10079,1024,1022,2,140,-1,false,37,37,87
2,21223,db6e1926b8dacf180d276805325478008d6f0001162f14ead196bdaca343d91a,11079,697,21223,true,15,21,9987,1024,1023,1,141,-1,false,43,43,55
3,18211,e7ef0b51b31e60f898f20cf80feccc265c48692859f739f030e25ea1b7766a40,10847,693,-1,false,0,0,10009,1024,1017,7,134,-1,false,1,1,9
4,56041,5e33761aae55769518234c4efabb6d5acf8477b7a5ead083cc168a6f2edd300a,11165,696,-1,false,5,5,10304,1024,1023,1,146,-1,false,33,33,65
5,22121,163c3fa561cc7b609bd0941d500f6af34fd91e568d5f30b1d4c4b56c817522a4,10973,695,-1,false,11,12,10270,1024,1021,3,140,-1,false,6,6,1
6,7731,c1500eaeadabf9ddae64b0ee9e104793def1befff4d6d4bce5a5c1d540bfa295,11083,689,-1,false,4,6,9970,1024,1023,1,151,-1,false,109,109,195
7,55558,4a72fc152022de73baacb4b63e2216973c73fbd74acc13bfbdb1c6c6b117dc2f,10797,678,-1,false,5,5,10207,1024,1021,3,147,-1,false,58,58,92
8,58733,201dbfd3c2598b6fe357a2e75de0b79d4d4b18820949b9d9593e534fc34eb142,11236,691,-1,false,22,42,9890,1024,1021,3,153,-1,false,94,94,152
9,12073,2eaf524eca6a902f6ced8e5cc7c617e6eed0a7fe27673f7671f33b8cdac5791b,10928,710,-1,false,27,40,10157,1024,1018,6,141,-1,false,27,27,22
10,5407,bcd3377e1eb49c9bcda1bde18d10188e1a4572d43a758d3c103dd8e818751358,11255,676,-1,false,2,3,10120,1024,1020,4,144,-1,false,19,19,94
11,14353,88ac4a5004337fd28e47ad95fe6a2f45235ee58c87219f2bfcd807ceede3ffa8,10945,698,-1,false,18,26,10162,1024,1021,3,132,-1,false,41,41,98
12,27985,0439fc072187c3354a468e06c75832145646f3a6fbdc12317343c7002d17ab96,11078,672,-1,false,30,53,10076,1024,1021,3,159,-1,false,8,8,22
13,33658,cad4273b3e698497b39f652b3d0432b42338ab1d40092a918dfc2a49ad70e2ce,10820,694,-1,false,3,4,10234,1024,1021,3,148,-1,false,27,27,145
14,1963,69ea52af823c555f6cb98d312fcd5c1816e5e6073e4fefc70fabb20f7c86248d,11148,690,-1,false,27,54,10317,1024,1019,5,153,-1,false,26,26,38
15,55563,efaf91e186eb4e4d85ef8112f2d36f478fd9533172a03ee3bffca187b5ba8c1a,11065,692,55563,true,23,37,10035,1024,1024,0,151,-1,false,5,5,7
16,15759,4d760f771d3e03a82137d621a3cb20460e84e40c10399487bbedbe456d609a42,10909,692,-1,false,6,6,10359,1024,1020,4,149,15759,true,21,14,66
17,5625,265361b171c0bb2e7c46762d85f3c9fb53fc70c5d9042aa7429c64b81304afe0,10872,680,-1,false,37,99,10068,1024,1020,4,144,-1,false,111,111,46
18,25805,1dd7c35ba5d7ce5314aa0cd35c5774314461dde46a5371c5c6d949707095fc5e,11048,674,-1,false,40,97,9935,1024,1022,2,149,-1,false,94,94,40
19,49316,3f020c2583b81cd4c7476a89e60aa4467b57480f436fff65e7de06ccf83d5d95,10905,694,-1,false,38,69,10337,1024,1021,3,165,49316,true,3,3,5
20,52222,fc06a6f5ef686a7f6eaf938f13cd9532fd140be102d761dc62e05973cb60f229,11263,680,-1,false,3,3,10106,1024,1021,3,145,-1,false,25,25,78
21,676,3a1db82d776ed92332a8b142ada74994da84b2ba083fc6cebe697a666a5f7bb6,10777,693,676,true,23,27,10207,1024,1018,6,153,676,true,25,5,65
22,17818,19140d92a5c0dec34b85622fedd1ffbb3326a94e4f34884c22881b37091cbdc1,11005,686,-1,false,29,50,10066,1024,1022,2,143,-1,false,43,43,30
23,20117,811348584b809a6995bcdbd6bab05852126478d8a2c39d20429865ace119e309,11146,688,-1,false,26,45,10046,1024,1022,2,139,-1,false,35,35,56
24,25443,0eda40b8ab809b753d158c17f4b1e80a8565e947bf75534f02fbaf302a7ae27e,11099,695,-1,false,9,11,10095,1024,1022,2,146,-1,false,6,6,34
25,54129,4db58cb1c68efdf161d08fe3b1cf6e380be779d91923903130f7f1f14417c2ab,11385,688,-1,false,3,5,10026,1024,1021,3,134,-1,false,8,8,16
26,54975,0bb15a9f4fe95bd1fcb3971318f86b35ca4afc747f36c74a1cfea2a1f211d576,10904,685,-1,false,3,3,10368,1024,1020,4,141,-1,false,27,27,72
27,21388,3f4f51bce241ce05503986d5108a053c95abde8ca0fd279e8caef1c0de5ceb44,10843,693,-1,false,21,32,10155,1024,1019,5,132,-1,false,56,56,46
28,64006,778c2f6747b846ad89bee53af6bfd1288d962b4e54d088053ab8fffd02d113a3,10851,680,64006,true,11,12,10332,1024,1021,3,136,-1,false,28,28,29
29,39512,b06114948d88bf11a43532bb0ddb8c64324f3dc6c80092bc32a16063cff205cd,10963,684,-1,false,19,24,10035,1024,1020,4,158,-1,false,2,2,11
