trial,method,coverage_states,coverage_fraction
0,hellman,11138,0.16995239
0,distinguished_points,10073,0.15370178
0,exhaustive,65536,1.00000000
1,hellman,11291,0.17228699
1,distinguished_points,10079,0.15379333
1,exhaustive,65536,1.00000000
2,hellman,11079,0.16905212
2,distinguished_points,9987,0.15238953
2,exhaustive,65536,1.00000000
3,hellman,10847,0.16551208
3,distinguished_points,10009,0.15272522
3,exhaustive,65536,1.00000000
4,hellman,11165,0.17036438
4,distinguished_points,10304,0.15722656
4,exhaustive,65536,1.00000000
5,hellman,10973,0.16743469
5,distinguished_points,10270,0.15670776
5,exhaustive,65536,1.00000000
6,hellman,11083,0.16911316
6,distinguished_points,9970,0.15213013
6,exhaustive,65536,1.00000000
7,hellman,10797,0.16474915
7,distinguished_points,10207,0.15574646
7,exhaustive,65536,1.00000000
8,hellman,11236,0.17144775
8,distinguished_points,9890,0.15090942
8,exhaustive,65536,1.00000000
9,hellman,10928,0.16674805
9,distinguished_points,10157,0.15498352
9,exhaustive,65536,1.00000000
10,hellman,11255,0.17173767
10,distinguished_points,10120,0.15441895
10,exhaustive,65536,1.00000000
11,hellman,10945,0.16700745
11,distinguished_points,10162,0.15505981
11,exhaustive,65536,1.00000000
12,hellman,11078,0.16903687
12,distinguished_points,10076,0.15374756
12,exhaustive,65536,1.00000000
13,hellman,10820,0.16510010
13,distinguished_points,10234,0.15615845
13,exhaustive,65536,1.00000000
14,hellman,11148,0.17010498
14,distinguished_points,10317,0.15742493
14,exhaustive,65536,1.00000000
15,hellman,11065,0.16883850
15,distinguished_points,10035,0.15312195
15,exhaustive,65536,1.00000000
16,hellman,10909,0.16645813
16,distinguished_points,10359,0.15806580
16,exhaustive,65536,1.00000000
17,hellman,10872,0.16589355
17,distinguished_points,10068,0.15362549
17,exhaustive,65536,1.00000000
18,hellman,11048,0.16857910
18,distinguished_points,9935,0.15159607
18,exhaustive,65536,1.00000000
19,hellman,10905,0.16639709
19,distinguished_points,10337,0.15773010
19,exhaustive,65536,1.00000000
20,hellman,11263,0.17185974
20,distinguished_points,10106,0.15420532
20,exhaustive,65536,1.00000000
21,hellman,10777,0.16444397
21,distinguished_points,10207,0.15574646
21,exhaustive,65536,1.00000000
22,hellman,11005,0.16792297
22,distinguished_points,10066,0.15359497
22,exhaustive,65536,1.00000000
23,hellman,11146,0.17007446
23,distinguished_points,10046,0.15328979
23,exhaustive,65536,1.00000000
24,hellman,11099,0.16935730
24,distinguished_points,10095,0.15403748
24,exhaustive,65536,1.00000000
25,hellman,11385,0.17372131
25,distinguished_points,10026,0.15298462
25,exhaustive,65536,1.00000000
26,hellman,10904,0.16638184
26,distinguished_points,10368,0.15820313
26,exhaustive,65536,1.00000000
27,hellman,10843,0.16545105
27,distinguished_points,10155,0.15495300
27,exhaustive,65536,1.00000000
28,hellman,10851,0.16557312
28,distinguished_points,10332,0.15765381
28,exhaustive,65536,1.00000000
29,hellman,10963,0.16728210
29,distinguished_points,10035,0.15312195
29,exhaustive,65536,1.00000000
