trial,method,state_bits,target_state,configured_chains,chain_parameter,dp_difficulty_bits,stored_chains,distinct_endpoints,offline_ns,online_ns,exact_recovery,recovered_state,endpoint_matches_or_candidates,candidate_chains_checked,truncated_chains,projection_steps
0,exhaustive,16,57417,0,0,0,0,0,0,184821542,true,57417,0,0,0,0
0,hellman,16,57417,1024,64,0,1024,684,96901542,7823917,false,-1,33,60,0,0
0,distinguished_points,16,57417,1024,256,6,1015,139,70914208,12782542,false,-1,93,93,9,136
1,exhaustive,16,59109,0,0,0,0,0,0,64764292,true,59109,0,0,0,0
1,hellman,16,59109,1024,64,0,1024,736,69593458,3386250,false,-1,10,17,0,0
1,distinguished_points,16,59109,1024,256,6,1022,140,57930292,3368959,false,-1,37,37,2,87
2,exhaustive,16,21223,0,0,0,0,0,0,23818625,true,21223,0,0,0,0
2,hellman,16,21223,1024,64,0,1024,697,70557500,3412708,true,21223,15,21,0,0
2,distinguished_points,16,21223,1024,256,6,1023,141,58574125,2678292,false,-1,43,43,1,55
3,exhaustive,16,18211,0,0,0,0,0,0,20905250,true,18211,0,0,0,0
3,hellman,16,18211,1024,64,0,1024,693,70204125,2087083,false,-1,0,0,0,0
3,distinguished_points,16,18211,1024,256,6,1017,134,61214708,65500,false,-1,1,1,7,9
4,exhaustive,16,56041,0,0,0,0,0,0,59323041,true,56041,0,0,0,0
4,hellman,16,56041,1024,64,0,1024,696,69772209,2457083,false,-1,5,5,0,0
4,distinguished_points,16,56041,1024,256,6,1023,146,58010541,3980500,false,-1,33,33,1,65
5,exhaustive,16,22121,0,0,0,0,0,0,23112125,true,22121,0,0,0,0
5,hellman,16,22121,1024,64,0,1024,695,72968042,3119834,false,-1,11,12,0,0
5,distinguished_points,16,22121,1024,256,6,1021,140,60766833,230084,false,-1,6,6,3,1
6,exhaustive,16,7731,0,0,0,0,0,0,7983916,true,7731,0,0,0,0
6,hellman,16,7731,1024,64,0,1024,689,72435834,2604417,false,-1,4,6,0,0
6,distinguished_points,16,7731,1024,256,6,1023,151,60200166,13111500,false,-1,109,109,1,195
7,exhaustive,16,55558,0,0,0,0,0,0,57819500,true,55558,0,0,0,0
7,hellman,16,55558,1024,64,0,1024,678,74700541,2478375,false,-1,5,5,0,0
7,distinguished_points,16,55558,1024,256,6,1021,147,61729167,3580583,false,-1,58,58,3,92
8,exhaustive,16,58733,0,0,0,0,0,0,60272917,true,58733,0,0,0,0
8,hellman,16,58733,1024,64,0,1024,691,71197625,5121625,false,-1,22,42,0,0
8,distinguished_points,16,58733,1024,256,6,1021,153,58387959,11717666,false,-1,94,94,3,152
9,exhaustive,16,12073,0,0,0,0,0,0,12534125,true,12073,0,0,0,0
9,hellman,16,12073,1024,64,0,1024,710,72595917,4829208,false,-1,27,40,0,0
9,distinguished_points,16,12073,1024,256,6,1018,141,63214875,911958,false,-1,27,27,6,22
10,exhaustive,16,5407,0,0,0,0,0,0,5434334,true,5407,0,0,0,0
10,hellman,16,5407,1024,64,0,1024,676,69847250,2286500,false,-1,2,3,0,0
10,distinguished_points,16,5407,1024,256,6,1020,144,59669583,1182542,false,-1,19,19,4,94
11,exhaustive,16,14353,0,0,0,0,0,0,14496000,true,14353,0,0,0,0
11,hellman,16,14353,1024,64,0,1024,698,69761542,3840042,false,-1,18,26,0,0
11,distinguished_points,16,14353,1024,256,6,1021,132,58582083,3753000,false,-1,41,41,3,98
12,exhaustive,16,27985,0,0,0,0,0,0,28399542,true,27985,0,0,0,0
12,hellman,16,27985,1024,64,0,1024,672,70424708,5742250,false,-1,30,53,0,0
12,distinguished_points,16,27985,1024,256,6,1021,159,60902625,213666,false,-1,8,8,3,22
13,exhaustive,16,33658,0,0,0,0,0,0,33883417,true,33658,0,0,0,0
13,hellman,16,33658,1024,64,0,1024,694,69576666,2404375,false,-1,3,4,0,0
13,distinguished_points,16,33658,1024,256,6,1021,148,60012000,1988500,false,-1,27,27,3,145
14,exhaustive,16,1963,0,0,0,0,0,0,1967375,true,1963,0,0,0,0
14,hellman,16,1963,1024,64,0,1024,690,70239333,5717042,false,-1,27,54,0,0
14,distinguished_points,16,1963,1024,256,6,1019,153,59277125,1592167,false,-1,26,26,5,38
15,exhaustive,16,55563,0,0,0,0,0,0,58787250,true,55563,0,0,0,0
15,hellman,16,55563,1024,64,0,1024,692,69682583,4063291,true,55563,23,37,0,0
15,distinguished_points,16,55563,1024,256,6,1024,151,56028209,91125,false,-1,5,5,0,7
16,exhaustive,16,15759,0,0,0,0,0,0,16055167,true,15759,0,0,0,0
16,hellman,16,15759,1024,64,0,1024,692,70525875,2489583,false,-1,6,6,0,0
16,distinguished_points,16,15759,1024,256,6,1020,149,59040625,879666,true,15759,21,14,4,66
17,exhaustive,16,5625,0,0,0,0,0,0,5636792,true,5625,0,0,0,0
