config,b,m,t,ma_hong,des_median,random_median,paired_mean_delta,paired_median_delta,paired_mean_ci_low,paired_mean_ci_high
budget-b16-t128,16,512,128,0.11984681224,0.12158203125,0.1198654174805,0.0021759033203000004,0.002243041991999997,0.001236445109244167,0.003089917500854165
budget-b16-t16,16,4096,16,0.311693306129,0.31818389892599996,0.317199707031,0.0016179402669000012,0.0017471313475000139,0.00045469919837666604,0.0028289794921708402
budget-b16-t32,16,2048,32,0.229509256274,0.2317962646485,0.230659484863,0.0008387247721999993,0.001014709472999989,-0.0004699961343475002,0.002130139668857498
stop-b12-a,12,64,8,0.104435921238,0.1051025390625,0.10595703125,-0.00034993489583333334,0.0006103515625,-0.002099609375,0.0012451171875
stop-b12-b,12,16,16,0.053028480822,0.052490234375,0.052490234375,0.0007486979166666667,0.00048828125,-0.0009116617838541665,0.0024576822916666666
stop-b14-a,14,64,16,0.053028480822,0.0536193847655,0.052703857422,0.0015462239582666663,0.00146484375,0.0006184895832666663,0.002453664143762495
stop-b14-b,14,16,32,0.026712618228,0.027069091797,0.026885986328,0.00030721028650000003,0.0003051757814999997,-0.0006673177082350001,0.001304117838634167
stop-b16-a,16,256,16,0.053028480822,0.053192138672,0.0530166625975,0.000180562337233333,0.00024414062449999718,-0.00026805877688749964,0.0006179809569675008
stop-b16-b,16,64,32,0.026712618228,0.0268478393555,0.0265350341795,0.0003214518231333334,0.0002136230470000007,-0.00014343261693666696,0.0007858403526874987
stop-b16-c,16,16,64,0.013405351497,0.013572692871,0.0134963989255,-9.358723956666669e-05,1.5258789000000515e-05,-0.0005635579427008334,0.0003570556639666666
stop-b18-a,18,256,32,0.026712618228,0.02667427063,0.026620864868500002,-4.0562947533333285e-05,-0.00017738342249999997,-0.00021553039533499978,0.00015627543130000005
stop-b18-b,18,64,64,0.013405351497,0.013469696045,0.013376235962,8.087158203333329e-05,6.675720199999981e-05,-8.964856464916657e-05,0.00024744669593499975
stop-b18-c,18,16,128,0.006714866097,0.006732940674,0.0068321228025,-4.0435790966666596e-05,7.629394500000258e-06,-0.00024668375646916664,0.00017280578623333334
stress-b16-current,16,1024,64,0.166514303028,0.16839599609349998,0.168098449707,0.0008666992185999978,0.0019226074215000083,-0.0007064946493216703,0.002439397176076658
