config,map_type,b,m,t,trials,ma_hong_fraction,median_coverage,mean_coverage,pstdev_coverage,median_residual,mean_residual,median_distinct_endpoints
budget-b16-t128,des,16,512,128,30,0.119846812240,0.121582031250,0.121568806966,0.001746389277,0.001735219010,0.001721994726,340.0
budget-b16-t128,random,16,512,128,30,0.119846812240,0.119865417481,0.119392903646,0.002100933505,0.000018605241,-0.000453908594,339.5
budget-b16-t16,des,16,4096,16,30,0.311693306129,0.318183898926,0.318172200521,0.002298113900,0.006490592797,0.006478894392,2760.5
budget-b16-t16,random,16,4096,16,30,0.311693306129,0.317199707031,0.316554260254,0.002680059520,0.005506400902,0.004860954125,2721.5
budget-b16-t32,des,16,2048,32,30,0.229509256274,0.231796264649,0.232076517741,0.002247975720,0.002287008375,0.002567261467,1411.5
budget-b16-t32,random,16,2048,32,30,0.229509256274,0.230659484863,0.231237792969,0.003021511490,0.001150228589,0.001728536695,1370.0
stop-b12-a,des,12,64,8,30,0.104435921238,0.105102539062,0.104801432292,0.004278587188,0.000666617824,0.000365511054,60.0
stop-b12-a,random,12,64,8,30,0.104435921238,0.105957031250,0.105151367187,0.003177050398,0.001521110012,0.000715445949,60.0
stop-b12-b,des,12,16,16,30,0.053028480822,0.052490234375,0.053385416667,0.003081936288,-0.000538246447,0.000356935845,16.0
stop-b12-b,random,12,16,16,30,0.053028480822,0.052490234375,0.052636718750,0.003733888560,-0.000538246447,-0.000391762072,15.5
stop-b14-a,des,14,64,16,30,0.053028480822,0.053619384766,0.053810628255,0.001904289267,0.000590903943,0.000782147433,62.5
stop-b14-a,random,14,64,16,30,0.053028480822,0.052703857422,0.052264404297,0.001677386312,-0.000324623400,-0.000764076526,62.0
stop-b14-b,des,14,16,32,30,0.026712618228,0.027069091797,0.026936848958,0.001735756096,0.000356473569,0.000224230730,16.0
stop-b14-b,random,14,16,32,30,0.026712618228,0.026885986328,0.026629638672,0.001615234418,0.000173368100,-0.000082979556,16.0
stop-b16-a,des,16,256,16,30,0.053028480822,0.053192138672,0.053242492676,0.000854802302,0.000163657849,0.000214011853,248.0
stop-b16-a,random,16,256,16,30,0.053028480822,0.053016662597,0.053061930339,0.000943907370,-0.000011818224,0.000033449516,248.0
stop-b16-b,des,16,64,32,30,0.026712618228,0.026847839355,0.026828002930,0.000784756817,0.000135221128,0.000115384702,63.0
stop-b16-b,random,16,64,32,30,0.026712618228,0.026535034180,0.026506551107,0.000948827882,-0.000177584048,-0.000206067121,63.0
stop-b16-c,des,16,16,64,30,0.013405351497,0.013572692871,0.013429768880,0.001011085124,0.000167341374,0.000024417384,16.0
stop-b16-c,random,16,16,64,30,0.013405351497,0.013496398925,0.013523356120,0.000716545254,0.000091047429,0.000118004623,16.0
stop-b18-a,des,18,256,32,30,0.026712618228,0.026674270630,0.026616032918,0.000420835267,-0.000038347598,-0.000096585310,252.0
stop-b18-a,random,18,256,32,30,0.026712618228,0.026620864869,0.026656595866,0.000345957127,-0.000091753360,-0.000056022362,252.0
stop-b18-b,des,18,64,64,30,0.013405351497,0.013469696045,0.013403065999,0.000440239571,0.000064344548,-0.000002285497,64.0
stop-b18-b,random,18,64,64,30,0.013405351497,0.013376235962,0.013322194417,0.000346694683,-0.000029115535,-0.000083157079,64.0
stop-b18-c,des,18,16,128,30,0.006714866097,0.006732940674,0.006728108724,0.000342875908,0.000018074577,0.000013242627,16.0
stop-b18-c,random,18,16,128,30,0.006714866097,0.006832122802,0.006768544515,0.000484538970,0.000117256706,0.000053678418,16.0
stress-b16-current,des,16,1024,64,30,0.166514303028,0.168395996093,0.168645731608,0.002336982000,0.001881693065,0.002131428580,695.0
stress-b16-current,random,16,1024,64,30,0.166514303028,0.168098449707,0.167779032389,0.003182050089,0.001584146678,0.001264729361,682.5
