label,b,N,m,t,mt_over_N,mt2_over_N,ma_hong_state_fraction,ma_hong_expected_states,iid_occupancy_fraction
stop-b12-a,12,4096,64,8,0.125,1.0,0.10443592123765211,427.76953338942303,0.11750309741540454
stop-b12-b,12,4096,16,16,0.0625,1.0,0.05302848082247513,217.20465744885814,0.06058693718652419
stop-b14-a,14,16384,64,16,0.0625,1.0,0.05302848082247513,868.8186297954326,0.06058693718652419
stop-b14-b,14,16384,16,32,0.03125,1.0,0.0267126182281735,437.65953705039465,0.03076676552365587
stop-b16-a,16,65536,256,16,0.0625,1.0,0.05302848082247513,3475.2745191817303,0.06058693718652419
stop-b16-b,16,65536,64,32,0.03125,1.0,0.0267126182281735,1750.6381482015786,0.03076676552365587
stop-b16-c,16,65536,16,64,0.015625,1.0,0.013405351496682427,878.5331156865795,0.015503562994591547
stop-b18-a,18,262144,256,32,0.03125,1.0,0.0267126182281735,7002.552592806314,0.03076676552365587
stop-b18-b,18,262144,64,64,0.015625,1.0,0.013405351496682427,3514.132462746318,0.015503562994591547
stop-b18-c,18,262144,16,128,0.0078125,1.0,0.0067148660972460306,1760.2618581964634,0.007782061739756485
budget-b16-t16,16,65536,4096,16,1.0,16.0,0.3116933061290592,20427.132510474024,0.6321205588285577
budget-b16-t32,16,65536,2048,32,1.0,32.0,0.22950925627402718,15041.118619174646,0.6321205588285577
stress-b16-current,16,65536,1024,64,1.0,64.0,0.1665143030281877,10912.68136325531,0.6321205588285577
budget-b16-t128,16,65536,512,128,1.0,128.0,0.11984681223977667,7854.280686946004,0.6321205588285577
